,mission_id,geometry
0,ap067165,POINT (114.033526 22.207958)
1,ap067221,POINT (114.18048 22.43938)
2,ap067246,POINT (114.251022 22.266647)
3,ap066843,POINT (108.771816 15.115474)
4,ap067174,POINT (114.04841 22.33782)
5,ap066819,POINT (108.146303 22.840149)
6,ap067151,POINT (113.98862 22.21343)
7,ap066891,POINT (109.725998 19.697201)
8,ap067148,POINT (113.975226 22.407091)
9,ap067044,POINT (112.96416 23.31635)
10,ap067051,POINT (113.07 23.0833)
11,ap067131,POINT (113.89526 22.53444)
12,ap067230,POINT (114.21176 22.51143)
13,ap067169,POINT (114.03873 22.288128)
14,ap067260,POINT (114.30572 22.43555)
15,ap067130,POINT (113.89421 22.53277)
16,ap067544,POINT (116.5033 23.552)
17,ap066874,POINT (109.41793 18.30163)
18,ap067172,POINT (114.04213 22.248)
19,ap067074,POINT (113.38264 22.52316)
20,ap067135,POINT (113.908782 22.41326)
21,ap067152,POINT (113.993546 22.194483)
22,ap066846,POINT (108.83202 18.49391)
23,ap067168,POINT (114.036466 22.290228)
24,ap067008,POINT (112.2664 16.9782)
25,ap067140,POINT (113.91729 22.378437)
26,ap067157,POINT (114.00631 22.31461)
27,ap067162,POINT (114.02147 22.27199)
28,ap066821,POINT (108.171997 22.608299)
29,ap067279,POINT (114.36306 22.47199)
30,ap067132,POINT (113.906604 22.406496)
31,ap066864,POINT (109.293999 21.5394)
32,ap067285,POINT (114.374564 22.411623)
33,ap067185,POINT (114.08172 22.56047)
34,ap067145,POINT (113.942868 22.559494)
35,ap066928,POINT (110.459 19.9349)
36,ap067133,POINT (113.908728 22.222866)
37,ap067235,POINT (114.21992 22.54461)
38,ap067144,POINT (113.9376 22.50869)
39,ap067243,POINT (114.249995 22.266425)
40,ap067194,POINT (114.1106 22.431)
41,ap067203,POINT (114.132499 22.206218)
42,ap067094,POINT (113.592003 22.149599)
43,ap067569,POINT (116.762001 23.426901)
44,ap067154,POINT (114.0011 22.23393)
45,ap067248,POINT (114.251371 22.26632)
46,ap067069,POINT (113.299004 23.392401)
47,ap066946,POINT (111.09331 23.40316)
48,ap066908,POINT (110.120833 22.438056)
49,ap067182,POINT (114.080002 22.4366)
50,ap067124,POINT (113.85985 22.25465)
51,ap067201,POINT (114.126577 22.537957)
52,ap066974,POINT (111.608675 16.535115)
53,ap067153,POINT (113.99524 22.38884)
54,ap066818,POINT (108.143 16.096)
55,ap067173,POINT (114.045064 22.55887)
56,ap067226,POINT (114.19064 22.32463)
57,ap067247,POINT (114.25131 22.26556)
58,ap067207,POINT (114.146318 22.202177)
59,ap067147,POINT (113.95305 22.38947)
60,ap067197,POINT (114.11614 22.50086)
61,ap067092,POINT (113.582668 22.165493)
62,ap067105,POINT (113.717093 22.023542)
63,ap067196,POINT (114.11534 22.49456)
64,ap067127,POINT (113.88933 22.22028)
65,ap067178,POINT (114.06675 22.55955)
66,ap066900,POINT (109.987999 18.4944)
67,ap066869,POINT (109.37722 18.23191)
68,ap066919,POINT (110.358406 21.21469)
69,ap067282,POINT (114.36995 22.39835)
70,ap067308,POINT (114.599998 23.049999)
71,ap066923,POINT (110.37968 19.67521)
72,ap067005,POINT (112.102408 21.961895)
73,ap067229,POINT (114.19973 22.391)
74,ap067290,POINT (114.428353 22.547742)
75,ap067192,POINT (114.10873 22.224873)
76,ap067114,POINT (113.810997 22.639299)
77,ap066878,POINT (109.4812 18.1923)
78,ap066934,POINT (110.5632 19.140251)
79,ap067238,POINT (114.23462 22.46838)
80,ap067232,POINT (114.21418 22.41043)
81,ap066823,POINT (108.198997 16.0439)
82,ap066949,POINT (111.198893 15.782977)
83,ap067233,POINT (114.215286 22.219076)
84,ap066867,POINT (109.334 13.0496)
85,ap067278,POINT (114.36261 22.33125)
86,ap067239,POINT (114.236398 22.269411)
87,ap067073,POINT (113.375999 22.006399)
88,ap067086,POINT (113.546807 22.194657)
89,ap067262,POINT (114.30794 22.36649)
90,ap067072,POINT (113.369003 23.1647)
91,ap066827,POINT (108.252693 16.029341)
92,ap067312,POINT (114.62793 22.76941)
93,ap067166,POINT (114.03388 22.30885)
94,sp003252,POINT (113.866667 22.466667)
95,sp003245,POINT (113.233333 23.116667)
96,ip001840,POINT (114.260659 22.166615)
97,ip001841,POINT (114.268008 22.27504)
98,ip001830,POINT (114.037927 22.283814)
99,ip001834,POINT (114.096085 22.341003)
100,ip001806,POINT (111.702808 16.452588)
101,ip001846,POINT (114.314615 22.352146)
102,ip001833,POINT (114.072337 22.282844)
103,ap066970,POINT (111.54725 7.5348)
104,ap066985,POINT (111.744572 7.875317)
105,ap066987,POINT (111.75218 7.70309)
106,ap067014,POINT (112.352639 8.930851)
107,ap067033,POINT (112.83202 8.864252)
108,ap067035,POINT (112.880071 9.539168)
109,ap067036,POINT (112.887697 9.551747)
110,ap067123,POINT (113.854429 10.022871)
111,ap067176,POINT (114.061933 10.913002)
112,ap067179,POINT (114.070648 10.923926)
113,ap067237,POINT (114.225583 10.205356)
114,ap067254,POINT (114.283905 11.051453)
115,ap067271,POINT (114.332163 11.429637)
116,ap067277,POINT (114.35567 11.45324)
117,ap067280,POINT (114.365637 10.377089)
118,ip001838,POINT (114.242292 10.17819)
119,ap073255,POINT (138.082993 9.49891)
120,ap074404,POINT (139.76037 32.46788)
121,ap074560,POINT (139.785995 33.115002)
122,ap074577,POINT (139.789993 10.0198)
123,ap075232,POINT (141.303611 24.762778)
124,ap075237,POINT (141.32261 24.784153)
125,ap075239,POINT (141.324612 24.793666)
126,ap075449,POINT (142.16715 26.63429)
127,ap075455,POINT (142.17954 26.62665)
128,ap075456,POINT (142.19062 27.0716)
129,ap075457,POINT (142.192032 27.090231)
130,ap075885,POINT (143.908005 7.37626)
131,ap076058,POINT (144.641971 13.438096)
132,ap076080,POINT (144.74103 13.474643)
133,ap076091,POINT (144.796005 13.4834)
134,ap076092,POINT (144.804993 13.4981)
135,ap076093,POINT (144.815983 13.475158)
136,ap076107,POINT (144.857358 13.624787)
137,ap076116,POINT (144.929998 13.584)
138,ap076184,POINT (145.242996 14.1743)
139,ap076245,POINT (145.619003 14.9992)
140,ap076248,POINT (145.627127 14.963692)
141,ap076249,POINT (145.629863 14.962748)
142,ap076250,POINT (145.631075 14.960012)
143,ap076251,POINT (145.6382 15.07242)
144,ap076257,POINT (145.701649 15.114978)
145,ap076264,POINT (145.724157 15.188155)
146,ap076265,POINT (145.72457 15.209759)
